Countries,2000_DWU,2001_DWU,2002_DWU,2003_DWU,2004_DWU,2005_DWU,2006_DWU,2007_DWU,2008_DWU,2009_DWU,2010_DWU,2011_DWU,2012_DWU,2013_DWU,2014_DWU,2015_DWU,2016_DWU,2017_DWU,2018_DWU,2019_DWU,2020_DWU,2000_LEB,2010_LEB,2015_LEB,2019_LEB
Croatia,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,83.41436464088397,83.83977900552486,84.25966850828729,84.46153846153847,84.84615384615384,85.27472527472527,85.66483516483517,86.06593406593407,86.52197802197803,87.03888888888889,87.40677966101696,87.69886363636364,87.84302325581395,74.4,76.7,77.6,78.6
Cuba,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,76.8,77.7,77.9,77.8
Cyprus,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78.7,81.0,82.0,83.1
Czechia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,77.6,78.5,79.1
Democratic People's Republic of Korea,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,94.0,64.0,70.2,71.8,72.6
Democratic Republic of the Congo,34.0,34.0,35.0,35.0,36.0,37.0,37.0,38.0,38.0,39.0,40.0,40.0,41.0,41.0,42.0,43.0,43.0,44.0,45.0,45.0,46.0,52.4,57.5,60.4,62.4
Denmark,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,76.9,79.2,80.6,81.3
Djibouti,75.0,75.0,75.0,75.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,59.8,61.9,64.6,65.8
Dominican Republic,90.0,91.0,91.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,73.2,73.2,71.8,72.8
Ecuador,82.0,83.0,84.0,85.0,85.0,86.0,87.0,87.0,88.0,89.0,90.0,90.0,91.0,92.0,92.0,93.0,94.0,94.0,95.0,95.0,95.0,74.5,75.0,77.2,78.4
Egypt,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,69.8,70.2,70.5,71.8
El Salvador,78.0,78.0,80.0,81.0,82.0,83.0,85.0,86.0,87.0,88.0,90.0,91.0,92.0,93.0,94.0,96.0,97.0,97.0,98.0,98.0,98.0,72.5,74.5,73.2,75.0
Equatorial Guinea,51.0,52.0,53.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,62.0,63.0,64.0,64.0,64.0,64.0,65.0,87.40677966101696,87.69886363636364,87.84302325581395,54.3,59.7,61.1,62.2
Eritrea,47.0,47.0,47.0,48.0,48.0,48.0,49.0,49.0,50.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0,52.0,87.03888888888889,87.40677966101696,87.69886363636364,87.84302325581395,54.5,60.7,62.3,64.1
Estonia,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.9,75.9,77.6,78.9
Eswatini,53.0,54.0,55.0,56.0,57.0,58.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,71.0,47.0,47.4,54.0,57.7
Ethiopia,18.0,20.0,21.0,23.0,25.0,26.0,28.0,29.0,31.0,33.0,34.0,36.0,37.0,39.0,41.0,42.0,44.0,45.0,47.0,48.0,50.0,50.6,62.9,66.8,68.7
Fiji,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,65.9,67.6,67.8,68.0
Finland,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.6,79.9,81.2,81.6
France,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,78.9,81.2,81.9,82.5
