Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Guatemala,23.8,24.57,25.44,26.35,27.35,28.39,29.51,30.76,32.05,33.4,34.83,36.28,37.8,39.39,41.02,42.7,44.44,46.22,48.12,50.06,52.12
Guyana,28.53,29.43,30.32,31.28,32.18,33.11,34.12,35.0,35.86,36.62,37.35,38.07,38.84,39.67,40.53,41.39,42.31,43.25,44.31,45.43,46.6
Haiti,60.51,62.5,64.37,66.34,68.21,70.13,71.98,73.9,75.77,77.64,130.12,81.38,83.29,85.21,87.31,89.53,91.87,94.45,97.29,100.46,103.87
Honduras,17.14,17.76,18.4,19.06,19.77,20.52,21.29,22.08,22.89,23.75,24.66,25.61,26.62,27.67,28.82,30.04,31.36,32.75,34.25,35.81,37.46
Jamaica,12.83,13.25,13.7,14.13,14.57,15.0,15.43,15.88,16.35,16.82,17.28,17.69,18.07,18.39,18.67,18.93,19.24,19.58,19.97,20.41,20.93
Mexico,13.71,14.16,14.66,15.17,15.68,16.21,16.76,17.33,17.93,18.54,19.17,19.84,20.54,21.27,22.05,22.89,23.8,24.79,25.87,27.04,28.29
Montserrat,5.44,5.62,5.81,6.01,6.22,6.42,6.65,6.87,7.09,7.34,7.58,7.84,8.12,8.4,8.69,9.01,9.31,9.67,10.05,10.47,10.9
Nicaragua,14.03,14.9,15.82,16.77,17.77,18.78,19.81,20.83,21.9,22.99,24.09,25.21,26.39,27.63,28.95,30.31,31.76,33.34,35.02,36.86,38.85
Panama,14.37,14.85,15.35,15.9,16.44,16.93,17.48,18.01,18.61,19.23,19.82,20.47,21.09,21.71,22.35,22.94,23.55,24.16,24.77,25.4,26.01
Paraguay,18.74,19.36,20.02,20.75,21.43,22.19,22.89,23.63,24.4,25.15,25.96,26.76,27.55,28.36,29.16,29.94,30.75,31.52,32.29,33.08,33.83
Peru,14.54,14.92,15.31,15.69,16.1,16.55,17.05,17.62,18.29,19.05,19.94,20.95,22.1,23.41,24.85,26.45,28.23,30.24,32.54,35.15,38.13
Saint Kitts and Nevis,15.02,15.44,15.86,16.26,16.61,16.94,17.19,17.31,17.38,17.42,17.51,17.63,17.83,18.12,18.53,19.09,19.8,20.65,21.64,22.71,23.81
Saint Lucia,24.48,24.06,23.57,23.04,22.5,21.95,21.43,20.95,20.49,20.08,19.71,19.38,19.1,18.85,18.65,18.5,18.39,18.32,18.3,18.33,18.41
Saint Vincent and the Grenadines,14.16,14.64,15.17,15.68,16.25,16.82,17.41,18.02,18.64,19.25,19.85,20.37,20.79,21.12,21.36,21.53,21.68,21.84,21.98,22.15,22.3
Suriname,17.71,18.26,18.78,19.37,19.94,20.48,21.02,21.6,22.14,22.72,23.29,23.89,24.55,25.22,25.91,26.67,27.48,28.35,29.27,30.27,31.31
Trinidad and Tobago,16.81,17.39,17.91,18.46,19.03,19.64,20.23,20.85,21.53,22.2,22.89,23.54,24.21,24.9,25.6,26.19,26.81,27.27,27.68,27.94,28.13
Turks and Caicos Islands,4.63,4.77,4.9,5.03,5.15,5.27,5.41,5.55,5.7,5.84,6.0,6.18,6.36,6.56,6.79,7.04,7.32,7.63,7.95,8.31,8.69
United States of America,6.35,6.44,6.53,6.62,6.71,6.79,6.88,6.97,7.08,7.2,7.34,7.48,7.61,7.74,7.86,7.96,8.05,8.14,8.23,8.33,8.45
Uruguay,6.28,6.8,7.35,7.9,8.43,8.91,9.34,9.7,10.03,10.38,10.77,11.28,11.92,12.71,13.57,14.43,15.2,15.78,16.2,16.59,17.04
Venezuela (Bolivarian Republic of),24.23,24.23,24.23,24.23,24.22,19.14,18.0,17.62,17.34,17.17,17.07,17.05,17.17,17.46,17.91,18.5,19.15,19.78,20.33,20.87,21.51
Afghanistan,57.8,59.92,62.17,64.58,67.25,70.17,73.38,76.77,80.27,83.96,87.79,91.79,95.87,100.04,104.27,108.56,112.79,117.03,121.19,125.31,129.34
Bahrain,7.03,7.12,7.19,7.26,7.34,7.44,7.55,7.69,7.89,8.14,8.47,8.88,9.34,9.81,10.25,10.65,10.98,11.29,11.61,11.99,12.48
Djibouti,55.95,57.92,59.94,61.92,63.79,65.63,67.84,69.88,72.16,74.31,76.51,78.87,81.25,83.67,86.08,88.51,90.99,93.42,95.94,98.35,100.57
Egypt,19.58,20.29,21.02,21.78,22.58,23.42,24.32,25.34,26.44,27.58,28.79,30.08,31.41,32.81,34.27,35.86,37.59,39.49,41.62,44.02,46.7
Iran (Islamic Republic of),13.05,13.49,13.98,14.46,15.0,15.53,16.15,16.8,17.53,18.36,19.31,20.42,21.71,23.12,24.67,26.32,28.12,30.04,32.03,34.05,36.08
Iraq,25.36,26.23,27.05,27.9,28.82,29.76,30.75,31.75,32.78,33.83,34.89,35.97,37.02,38.06,39.05,40.02,40.93,41.81,42.68,43.54,44.45
Jordan,15.05,15.53,16.01,16.49,16.99,17.51,18.02,18.52,19.03,19.59,20.14,20.72,21.32,21.93,22.56,23.24,23.93,24.64,25.36,26.1,26.85
Kuwait,8.8,8.82,8.83,8.87,8.95,9.1,9.31,9.6,9.95,10.34,10.71,11.01,11.25,11.43,11.59,11.75,11.96,12.16,12.35,12.54,12.79
Lebanon,8.45,8.65,8.83,9.01,9.2,9.43,9.69,9.99,10.35,10.76,11.23,11.77,12.38,13.09,13.92,14.81,15.77,16.82,17.9,19.02,20.1
Libya,11.12,11.5,11.9,12.33,12.77,13.29,13.82,14.41,15.05,19.49,16.6,17.58,18.76,20.18,21.69,23.13,24.42,25.52,26.45,27.28,28.1
Morocco,18.74,19.52,20.38,21.32,22.38,23.6,24.94,26.39,27.93,29.53,31.25,33.09,35.06,37.15,39.3,41.51,43.7,45.86,48.01,50.16,52.35
Oman,10.37,10.6,10.81,10.97,11.08,11.16,11.25,11.36,11.48,11.6,11.73,11.85,11.99,12.16,12.41,12.73,13.17,13.73,14.45,15.32,16.34
Pakistan,65.48,67.5,69.64,71.77,73.95,76.18,78.43,80.71,82.95,85.15,87.22,89.21,91.05,92.86,94.65,96.51,98.46,100.52,102.75,105.28,108.08
Qatar,5.66,6.06,6.49,6.92,7.35,7.76,8.13,8.45,8.71,8.94,9.15,9.37,9.6,9.84,10.12,10.43,10.77,11.17,11.59,12.03,12.49
Saudi Arabia,7.0,7.33,7.69,8.11,8.59,9.1,9.65,10.23,10.86,11.53,12.25,13.01,13.81,14.65,15.55,16.47,17.45,18.48,19.57,20.76,22.05
Somalia,114.89,118.6,122.51,126.09,130.31,134.47,138.88,143.43,148.12,152.65,157.47,162.2,166.6,170.21,172.26,172.83,172.9,172.9,172.9,172.9,172.9
Sudan,56.58,58.43,60.28,62.12,64.06,66.05,68.01,69.95,71.87,73.85,75.87,78.05,80.32,82.84,85.46,88.24,91.18,94.38,97.65,101.03,104.42
Syrian Arab Republic,22.81,22.62,23.81,23.93,39.76,41.82,47.26,45.43,37.13,20.16,18.92,18.87,18.92,19.07,19.33,19.68,20.11,20.66,21.32,22.11,23.02
Tunisia,16.61,16.86,17.01,17.06,17.1,17.17,17.3,17.49,17.72,18.02,18.39,18.86,19.44,20.16,21.03,22.07,23.27,24.65,26.21,27.97,29.96
United Arab Emirates,6.58,6.79,7.0,7.21,7.42,7.61,7.79,7.97,8.18,8.41,8.66,8.92,9.17,9.4,9.61,9.83,10.07,10.32,10.59,10.86,11.15
Yemen,59.69,61.6,61.67,60.26,60.46,60.79,58.8,58.5,58.88,58.65,58.92,60.21,62.56,65.73,69.31,73.12,77.17,81.43,85.89,90.46,95.1
"occupied Palestinian territory, including east Jerusalem",15.33,15.88,16.45,17.06,17.69,18.39,21.32,19.82,20.55,21.29,22.05,22.83,23.62,24.42,25.24,26.06,26.89,27.73,28.57,29.43,30.36
Albania,9.44,9.39,9.34,9.34,9.4,9.58,9.92,10.46,11.21,12.17,13.29,14.49,15.76,17.1,18.52,19.98,21.46,22.93,24.38,25.8,27.18
Andorra,2.85,2.95,3.06,3.2,3.35,3.53,3.73,3.92,4.13,4.33,4.58,4.82,5.08,5.35,5.65,5.96,6.26,6.54,6.87,7.22,7.61
Armenia,11.26,11.83,12.42,13.04,13.71,14.41,15.14,15.91,16.75,17.62,18.54,19.52,20.52,21.59,22.71,23.89,25.11,26.41,27.77,29.2,30.66
Austria,3.62,3.58,3.56,3.57,3.61,3.67,3.77,3.9,4.05,4.2,4.34,4.45,4.54,4.63,4.75,4.9,5.06,5.21,5.33,5.42,5.51
Azerbaijan,19.43,20.42,21.55,22.89,24.48,26.3,28.26,30.32,32.51,34.83,37.31,39.93,42.68,45.59,48.68,52.02,55.73,59.85,64.46,69.42,74.59
Belarus,2.91,3.13,3.38,3.62,3.86,4.09,4.32,4.57,4.86,5.19,5.59,6.07,6.64,7.3,8.02,8.74,9.43,10.14,10.94,11.83,12.76
Belgium,4.11,4.11,4.09,4.07,4.06,4.08,4.12,4.19,4.27,4.36,4.46,4.56,4.67,4.79,4.91,5.04,5.17,5.33,5.51,5.68,5.86
Bosnia and Herzegovina,5.75,5.88,6.01,6.11,6.19,6.26,6.36,6.49,6.66,6.9,7.19,7.54,7.91,8.28,8.61,8.87,9.05,9.18,9.34,9.56,9.89
Bulgaria,6.48,6.7,6.98,7.32,7.69,8.13,8.66,9.24,9.84,10.39,10.83,11.13,11.39,11.78,12.43,13.28,14.22,15.15,15.99,16.7,17.41
Croatia,4.68,4.72,4.76,4.81,4.86,4.92,4.98,5.07,5.17,5.31,5.47,5.67,5.9,6.15,6.42,6.72,7.03,7.35,7.67,7.99,8.3
Cyprus,2.8,2.8,2.76,2.74,2.75,2.79,2.87,2.99,3.13,3.29,3.46,3.63,3.81,4.03,4.3,4.6,4.96,5.33,5.72,6.11,6.52
Czechia,2.89,3.02,3.12,3.18,3.19,3.17,3.15,3.15,3.19,3.27,3.38,3.54,3.72,3.92,4.13,4.35,4.57,4.78,4.98,5.19,5.46
