Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Nigeria,113.82 ,116.8 ,119.57 ,122.39 ,124.71 ,126.41 ,128.02 ,129.62 ,131.35 ,133.42 ,135.72 ,138.51 ,141.91 ,145.79 ,150.24 ,155.11 ,160.38 ,165.81 ,171.43 ,176.97 ,182.43 
Rwanda,40.68 ,42.1 ,43.4 ,44.63 ,46.06 ,47.74 ,49.78 ,52.16 ,55.16 ,58.64 ,63.78 ,69.55 ,76.28 ,84.47 ,93.89 ,105.23 ,118.34 ,133.22 ,149.6 ,167.56 ,185.42 
Sao Tome and Principe,16.19 ,17.15 ,18.27 ,19.68 ,21.36 ,23.28 ,25.44 ,27.82 ,30.49 ,33.3 ,36.33 ,39.54 ,43.1 ,46.97 ,51.21 ,55.79 ,60.69 ,65.89 ,71.28 ,76.86 ,82.4 
Senegal,40.14 ,41.81 ,43.75 ,45.95 ,48.38 ,51 ,53.76 ,56.67 ,59.75 ,62.93 ,66.4 ,70.2 ,74.46 ,79.39 ,85.12 ,91.68 ,99.08 ,107.05 ,115.23 ,123.02 ,129.71 
Seychelles,14.18 ,14.4 ,14.53 ,14.59 ,14.57 ,14.54 ,14.5 ,14.45 ,14.39 ,14.33 ,14.25 ,14.18 ,14.12 ,14.08 ,14.04 ,13.99 ,13.95 ,13.92 ,13.89 ,13.87 ,13.86 
Sierra Leone,108.52 ,112.52 ,116.79 ,121.36 ,126.1 ,140.98 ,139.98 ,141.88 ,147.97 ,154.45 ,161.41 ,168.46 ,175.66 ,182.82 ,189.71 ,196.48 ,202.8 ,208.99 ,214.79 ,220.44 ,225.87 
South Africa,33.74 ,34.34 ,35.09 ,35.82 ,36.56 ,37.34 ,38.26 ,39.58 ,41.53 ,45.48 ,51.59 ,59.9 ,68.27 ,74.61 ,78.95 ,79.24 ,77.77 ,76.49 ,75.16 ,73.3 ,71.01 
South Sudan,98.69 ,98.69 ,98.69 ,98.69 ,98.69 ,98.69 ,98.71 ,99.21 ,101.02 ,104.5 ,109.14 ,114.69 ,120.42 ,126.74 ,133.24 ,140.09 ,147.53 ,155.54 ,164.02 ,172.66 ,181.59 
Togo,64.61 ,66.65 ,68.8 ,71.16 ,73.51 ,75.93 ,78.46 ,81.06 ,83.7 ,86.4 ,89.09 ,91.86 ,94.62 ,97.41 ,100.26 ,103.23 ,106.37 ,109.63 ,113.02 ,116.5 ,120.01 
Uganda,43.67 ,45.56 ,47.74 ,50.17 ,52.71 ,55.98 ,59.12 ,62.46 ,66.71 ,71.6 ,76.4 ,81.7 ,87.03 ,93.1 ,99.79 ,107.18 ,115.16 ,123.47 ,131.58 ,139.27 ,146.1 
United Republic of Tanzania,49 ,50.44 ,51.88 ,53.9 ,55.82 ,58.02 ,59.84 ,62.52 ,65.18 ,68.21 ,71.74 ,75.25 ,79.61 ,83.9 ,88.91 ,94.05 ,100.04 ,106.67 ,114.03 ,121.92 ,129.85 
Zambia,59.67 ,62.59 ,64.22 ,64.15 ,65.33 ,68.22 ,69.51 ,72 ,74.55 ,76.55 ,78.74 ,83.27 ,88.48 ,93.34 ,98.92 ,106.73 ,115.76 ,125.95 ,136.49 ,146.95 ,155.66 
Zimbabwe,51.77 ,52.67 ,53.69 ,56.18 ,57.87 ,60.47 ,62.61 ,66.22 ,72.15 ,80.59 ,86.11 ,91.25 ,94.7 ,96.23 ,95.59 ,93.65 ,92.87 ,92.6 ,93.41 ,94.52 ,96.17 
